170	4
181	7
238	11
493	15
321	16
420	18
538	22
669	23
565	26
327	28
604	30
824	31
693	35
310	36
334	36
105	43
333	44
706	47
569	60
451	62
703	64
481	64
452	64
492	67
117	69
690	38
55	76
695	80
862	81
855	13
388	85
293	88
299	73
743	73
275	98
787	98
810	103
319	105
331	104
556	94
90	116
286	19
162	121
887	121
499	122
928	20
37	132
429	132
28	134
200	134
19	134
610	135
540	139
788	144
587	145
91	147
480	147
595	148
834	21
138	21
372	158
823	159
955	164
783	165
509	165
145	169
167	171
100	171
354	174
261	175
716	102
856	102
733	102
248	177
804	180
139	186
287	190
41	196
833	196
718	196
684	197
432	198
268	198
846	201
130	203
736	204
378	206
550	209
894	74
219	211
518	211
968	211
573	211
898	211
226	212
454	213
935	214
430	216
70	216
593	216
694	216
508	217
901	218
747	221
568	231
675	232
446	232
44	236
688	236
449	202
398	202
952	1
877	1
474	252
885	254
500	254
782	261
873	261
661	256
366	263
395	264
680	265
20	276
596	281
445	291
338	294
820	59
461	296
815	304
341	304
562	306
150	311
413	317
615	318
344	318
52	319
636	320
32	321
136	321
235	324
325	326
870	327
125	328
749	328
581	298
359	310
191	332
479	334
460	337
889	338
254	341
632	342
585	343
656	343
626	239
314	289
295	289
882	348
351	168
816	168
253	168
775	168
895	207
279	365
244	315
203	372
266	130
830	376
829	350
803	350
564	380
153	381
80	383
40	384
301	384
69	8
427	8
827	387
948	389
937	391
329	96
315	394
487	395
308	396
795	398
440	402
860	402
625	405
601	406
838	406
609	411
464	413
113	417
485	419
888	422
576	426
796	426
75	426
623	431
353	78
306	437
462	438
124	440
529	443
434	448
179	450
53	451
35	452
849	454
411	308
657	462
794	464
704	468
289	469
505	473
507	473
975	473
551	474
477	484
906	484
443	485
66	485
103	496
48	497
683	505
865	506
119	506
826	270
702	508
514	3
668	510
328	475
913	528
633	127
936	538
469	546
78	552
525	553
6	554
349	555
851	160
771	560
282	564
49	566
506	569
144	54
725	54
277	0
134	586
33	588
152	588
263	593
521	430
819	595
415	292
575	292
961	599
178	229
467	229
294	605
390	609
442	512
599	615
435	615
